query	document	reference	score	query_type
Who was Captain Moroni and what did he do?	And behold, Moroni had appointed Lehi to be chief captain over the men of that city; and it was that same Lehi who fought with the Lamanites in the valley on the east of the river Sidon.	Alma 49:16	1	person
Who was Captain Moroni and what did he do?	And it came to pass that he headed Amalickiah also, as he was marching forth with his numerous army that he might take possession of the land Bountiful, and also the land northward.	Alma 51:30	1	person
Who was Captain Moroni and what did he do?	And he caused that all the people in that quarter of the land should gather themselves together to battle against the Lamanites, to defend their lands and their country, their rights and their liberties; therefore they were prepared against the time of the coming of the Lamanites.	Alma 43:26	1	person
Who was Captain Moroni and what did he do?	And now, as Moroni knew the intention of the Lamanites, that it was their intention to destroy their brethren, or to subject them and bring them into bondage that they might establish a kingdom unto themselves over all the land;	Alma 43:29	2	person
Who was Captain Moroni and what did he do?	And it came to pass in the commencement of the thirty and first year of the reign of the judges over the people of Nephi, Moroni immediately caused that provisions should be sent, and also an army of six thousand men should be sent unto Helaman, to assist him in preserving that part of the land.	Alma 62:12	2	person
Who was Captain Moroni and what did he do?	But it came to pass that they were met by Teancum, who had slain Morianton and had headed his people in his flight.	Alma 51:29	0	person
Who was Captain Moroni and what did he do?	And it came to pass that he rent his coat; and he took a piece thereof, and wrote upon it—In memory of our God, our religion, and freedom, and our peace, our wives, and our children—and he fastened it upon the end of a pole.	Alma 46:12	3	person
Who was Captain Moroni and what did he do?	Now Moroni was desirous that the Lamanites should come out to battle against them, upon the plains; but the Lamanites, knowing of their exceedingly great courage, and beholding the greatness of their numbers, therefore they durst not come out against them; therefore they did not come to battle in that day.	Alma 62:19	2	person
Who was Captain Moroni and what did he do?	And now, as the Amalekites were of a more wicked and murderous disposition than the Lamanites were, in and of themselves, therefore, Zerahemnah appointed chief captains over the Lamanites, and they were all Amalekites and Zoramites.	Alma 43:6	1	person
Who was Captain Moroni and what did he do?	And thus, when Moroni had gathered together whatsoever men he could in all his march, he came to the land of Gideon; and uniting his forces with those of Pahoran they became exceedingly strong, even stronger than the men of Pachus, who was the king of those dissenters who had driven the freemen out of the land of Zarahemla and had taken possession of the land.	Alma 62:6	2	person
Who was Captain Moroni and what did he do?	And he fastened on his head-plate, and his breastplate, and his shields, and girded on his armor about his loins; and he took the pole, which had on the end thereof his rent coat, (and he called it the title of liberty) and he bowed himself to the earth, and he prayed mightily unto his God for the blessings of liberty to rest upon his brethren, so long as there should a band of Christians remain to possess the land—	Alma 46:13	3	person
How is temple work described in scripture?	And I, Nephi, did build a temple; and I did construct it after the manner of the temple of Solomon save it were not built of so many precious things; for they were not to be found upon the land, wherefore, it could not be built like unto Solomon's temple. But the manner of the construction was like unto the temple of Solomon; and the workmanship thereof was exceedingly fine.	2 Nephi 5:16	2	thematic
How is temple work described in scripture?	If ye labor with all your might, I will consecrate that spot that it shall be made holy.	D&C 124:44	1	thematic
How is temple work described in scripture?	The posts of the temple were squared, and the face of the sanctuary; the appearance of the one as the appearance of the other.	Ezekiel 41:21	1	thematic
How is temple work described in scripture?	Foreshadowing the great work to be done in the temples of the Lord in the dispensation of the fulness of times, for the redemption of the dead, and the sealing of the children to their parents, lest the whole earth be smitten with a curse and utterly wasted at his coming.	D&C 138:48	3	thematic
How is temple work described in scripture?	For, for this cause I commanded Moses that he should build a tabernacle, that they should bear it with them in the wilderness, and to build a house in the land of promise, that those ordinances might be revealed which had been hid from before the world was.	D&C 124:38	2	thematic
How is temple work described in scripture?	And again, verily thus saith the Lord: Let the work of my temple, and all the works which I have appointed unto you, be continued on and not cease; and let your diligence, and your perseverance, and patience, and your works be redoubled, and you shall in nowise lose your reward, saith the Lord of Hosts. And if they persecute you, so persecuted they the prophets and righteous men that were before you. For all this there is a reward in heaven.	D&C 127:4	3	thematic
How is temple work described in scripture?	Therefore, verily I say unto you, that your anointings, and your washings, and your baptisms for the dead, and your solemn assemblies, and your memorials for your sacrifices by the sons of Levi, and for your oracles in your most holy places wherein you receive conversations, and your statutes and judgments, for the beginning of the revelations and foundation of Zion, and for the glory, honor, and endowment of all her municipals, are ordained by the ordinance of my holy house, which my people are always commanded to build unto my holy name.	D&C 124:39	3	thematic
How is temple work described in scripture?	For thou knowest that we have done this work through great tribulation; and out of our poverty we have given of our substance to build a house to thy name, that the Son of Man might have a place to manifest himself to his people.	D&C 109:5	3	thematic
How is temple work described in scripture?	And let the lower part of the inner court be dedicated unto me for your sacrament offering, and for your preaching, and your fasting, and your praying, and the offering up of your most holy desires unto me, saith your Lord.	D&C 95:16	2	thematic
How is temple work described in scripture?	And that ye should prepare rooms for all these offices in my house when you build it unto my name, saith the Lord your God. Even so. Amen.	D&C 124:145	2	thematic
How is temple work described in scripture?	And again, verily I say unto you, how shall your washings be acceptable unto me, except ye perform them in a house which you have built to my name?	D&C 124:37	3	thematic
How is temple work described in scripture?	Behold, I build an house to the name of the LORD my God, to dedicate it to him, and to burn before him sweet incense, and for the continual shewbread, and for the burnt offerings morning and evening, on the sabbaths, and on the new moons, and on the solemn feasts of the LORD our God. This is an ordinance for ever to Israel.	2 Chronicles 2:4	3	thematic
How is temple work described in scripture?	Now these are the things wherein Solomon was instructed for the building of the house of God. The length by cubits after the first measure was threescore cubits, and the breadth twenty cubits.	2 Chronicles 3:3	2	thematic
How is temple work described in scripture?	This is the law of the house; Upon the top of the mountain the whole limit thereof round about shall be most holy. Behold, this is the law of the house.	Ezekiel 43:12	1	thematic
How is temple work described in scripture?	Verily, verily, I say unto you, that when I give a commandment to any of the sons of men to do a work unto my name, and those sons of men go with all their might and with all they have to perform that work, and cease not their diligence, and their enemies come upon them and hinder them from performing that work, behold, it behooveth me to require that work no more at the hands of those sons of men, but to accept of their offerings.	D&C 124:49	2	thematic
How is temple work described in scripture?	And verily I say unto you, let this house be built unto my name, that I may reveal mine ordinances therein unto my people;	D&C 124:40	3	thematic
How is temple work described in scripture?	The elements are the tabernacle of God; yea, man is the tabernacle of God, even temples; and whatsoever temple is defiled, God shall destroy that temple.	D&C 93:35	1	thematic
How is temple work described in scripture?	Including the building of the temples and the performance of ordinances therein for the redemption of the dead, were also in the spirit world.	D&C 138:54	3	thematic
How is temple work described in scripture?	For this ordinance belongeth to my house, and cannot be acceptable to me, only in the days of your poverty, wherein ye are not able to build a house unto me.	D&C 124:30	2	thematic
How is temple work described in scripture?	And with iron, with copper, and with brass, and with zinc, and with all your precious things of the earth; and build a house to my name, for the Most High to dwell therein.	D&C 124:27	2	thematic
How is temple work described in scripture?	And the oracle he prepared in the house within, to set there the ark of the covenant of the LORD.	1 Kings 6:19	2	thematic
How is temple work described in scripture?	Therefore, let it be built after the manner which I shall show unto three of you, whom ye shall appoint and ordain unto this power.	D&C 95:14	1	thematic
How is temple work described in scripture?	And he measured the length of the building over against the separate place which was behind it, and the galleries thereof on the one side and on the other side, an hundred cubits, with the inner temple, and the porches of the court;	Ezekiel 41:15	1	thematic
How is temple work described in scripture?	And this temple which ye now see shall be thrown down that there shall not be left one stone upon another.	D&C 45:20	0	thematic
How is temple work described in scripture?	Organize yourselves; prepare every needful thing, and establish a house, even a house of prayer, a house of fasting, a house of faith, a house of learning, a house of glory, a house of order, a house of God;	D&C 109:8	2	thematic
How is temple work described in scripture?	To that above the door, even unto the inner house, and without, and by all the wall round about within and without, by measure.	Ezekiel 41:17	0	thematic
How is temple work described in scripture?	Afterward he brought me to the temple, and measured the posts, six cubits broad on the one side, and six cubits broad on the other side, which was the breadth of the tabernacle.	Ezekiel 41:1	1	thematic
How is temple work described in scripture?	Also for the courses of the priests and the Levites, and for all the work of the service of the house of the LORD, and for all the vessels of service in the house of the LORD.	1 Chronicles 28:13	2	thematic
How is temple work described in scripture?	And he said unto me, Son of man, thus saith the Lord GOD; These are the ordinances of the altar in the day when they shall make it, to offer burnt offerings thereon, and to sprinkle blood thereon.	Ezekiel 43:18	2	thematic
How is temple work described in scripture?	And there was an enlarging, and a winding about still upward to the side chambers: for the winding about of the house went still upward round about the house: therefore the breadth of the house was still upward, and so increased from the lowest chamber to the highest by the midst.	Ezekiel 41:7	1	thematic
How is temple work described in scripture?	And I will show unto my servant Joseph all things pertaining to this house, and the priesthood thereof, and the place whereon it shall be built.	D&C 124:42	1	thematic
How is temple work described in scripture?	And if they be ashamed of all that they have done, shew them the form of the house, and the fashion thereof, and the goings out thereof, and the comings in thereof, and all the forms thereof, and all the ordinances thereof, and all the forms thereof, and all the laws thereof: and write it in their sight, that they may keep the whole form thereof, and all the ordinances thereof, and do them.	Ezekiel 43:11	2	thematic
How is temple work described in scripture?	From the ground unto above the door were cherubims and palm trees made, and on the wall of the temple.	Ezekiel 41:20	1	thematic
How is temple work described in scripture?	Yea, verily I say unto you, I gave unto you a commandment that you should build a house, in the which house I design to endow those whom I have chosen with power from on high;	D&C 95:8	3	thematic
How is temple work described in scripture?	Thou who hast commanded thy servants to build a house to thy name in this place [Kirtland].	D&C 109:2	1	thematic
How is temple work described in scripture?	And there were made on them, on the doors of the temple, cherubims and palm trees, like as were made upon the walls; and there were thick planks upon the face of the porch without.	Ezekiel 41:25	1	thematic
How is temple work described in scripture?	And now thou beholdest, O Lord, that thy servants have done according to thy commandment.	D&C 109:3	1	thematic
How is temple work described in scripture?	And the oracle in the forepart was twenty cubits in length, and twenty cubits in breadth, and twenty cubits in the height thereof: and he overlaid it with pure gold; and so covered the altar which was of cedar.	1 Kings 6:20	2	thematic
How is temple work described in scripture?	And the house, when it was in building, was built of stone made ready before it was brought thither: so that there was neither hammer nor axe nor any tool of iron heard in the house, while it was in building.	1 Kings 6:7	2	thematic
How is temple work described in scripture?	Behold, the great day of the Lord is at hand; and who can abide the day of his coming, and who can stand when he appeareth? For he is like a refiner's fire, and like fuller's soap; and he shall sit as a refiner and purifier of silver, and he shall purify the sons of Levi, and purge them as gold and silver, that they may offer unto the Lord an offering in righteousness. Let us, therefore, as a church and a people, and as Latter-day Saints, offer unto the Lord an offering in righteousness; and let us present in his holy temple, when it is finished, a book containing the records of our dead, which shall be worthy of all acceptation.	D&C 128:24	3	thematic
How is temple work described in scripture?	And the four tables were of hewn stone for the burnt offering, of a cubit and an half long, and a cubit and an half broad, and one cubit high: whereupon also they laid the instruments wherewith they slew the burnt offering and the sacrifice.	Ezekiel 40:42	2	thematic
How is temple work described in scripture?	And he made the veil of blue, and purple, and crimson, and fine linen, and wrought cherubims thereon.	2 Chronicles 3:14	2	thematic
How is temple work described in scripture?	He overlaid also the house, the beams, the posts, and the walls thereof, and the doors thereof, with gold; and graved cherubims on the walls.	2 Chronicles 3:7	2	thematic
How is temple work described in scripture?	And it shall be dedicated unto the Lord from the foundation thereof, according to the order of the priesthood, according to the pattern which shall be given unto you hereafter.	D&C 94:6	2	thematic
How is temple work described in scripture?	Then Solomon began to build the house of the LORD at Jerusalem in mount Moriah, where the LORD appeared unto David his father, in the place that David had prepared in the threshingfloor of Ornan the Jebusite.	2 Chronicles 3:1	2	thematic
How is temple work described in scripture?	And the pattern of all that he had by the spirit, of the courts of the house of the LORD, and of all the chambers round about, of the treasuries of the house of God, and of the treasuries of the dedicated things:	1 Chronicles 28:12	2	thematic
How is temple work described in scripture?	And in the most holy house he made two cherubims of image work, and overlaid them with gold.	2 Chronicles 3:10	1	thematic
How is temple work described in scripture?	And ye shall build it on the place where you have contemplated building it, for that is the spot which I have chosen for you to build it.	D&C 124:43	1	thematic
How is temple work described in scripture?	And the chambers and the entries thereof were by the posts of the gates, where they washed the burnt offering.	Ezekiel 40:38	2	thematic
How is temple work described in scripture?	And this house shall be wholly dedicated unto the Lord from the foundation thereof, for the work of the printing, in all things whatsoever I shall command you, to be holy, undefiled, according to the pattern in all things as it shall be given unto you.	D&C 94:12	0	thematic
How is the Holy Ghost described across different scriptures?	And there appeared unto them cloven tongues like as of fire, and it sat upon each of them.	Acts 2:3	3	cross-reference
How is the Holy Ghost described across different scriptures?	But the Comforter, which is the Holy Ghost, whom the Father will send in my name, he shall teach you all things, and bring all things to your remembrance, whatsoever I have said unto you.	John 14:26	3	cross-reference
How is the Holy Ghost described across different scriptures?	Wherefore, I now send upon you another Comforter, even upon you my friends, that it may abide in your hearts, even the Holy Spirit of promise; which other Comforter is the same that I promised unto my disciples, as is recorded in the testimony of John.	D&C 88:3	3	cross-reference
How is the Holy Ghost described across different scriptures?	And the Holy Ghost beareth record of the Father and me; and the Father giveth the Holy Ghost unto the children of men, because of me.	3 Nephi 28:11	3	cross-reference
How is the Holy Ghost described across different scriptures?	And when he had said this, he breathed on them, and saith unto them, Receive ye the Holy Ghost:	John 20:22	2	cross-reference
How is the Holy Ghost described across different scriptures?	Even the Spirit of truth; whom the world cannot receive, because it seeth him not, neither knoweth him: but ye know him; for he dwelleth with you, and shall be in you.	John 14:17	3	cross-reference
How is the Holy Ghost described across different scriptures?	And the Holy Ghost descended in a bodily shape like a dove upon him, and a voice came from heaven, which said, Thou art my beloved Son; in thee I am well pleased.	Luke 3:22	3	cross-reference
How is the Holy Ghost described across different scriptures?	Wherefore, after he was baptized with water the Holy Ghost descended upon him in the form of a dove.	2 Nephi 31:8	2	cross-reference
How is the Holy Ghost described across different scriptures?	But when the Comforter is come, whom I will send unto you from the Father, even the Spirit of truth, which proceedeth from the Father, he shall testify of me:	John 15:26	3	cross-reference
How is the Holy Ghost described across different scriptures?	And I, John, bear record, and lo, the heavens were opened, and the Holy Ghost descended upon him in the form of a dove, and sat upon him, and there came a voice out of heaven saying: This is my beloved Son.	D&C 93:15	2	cross-reference
How is the Holy Ghost described across different scriptures?	(But this spake he of the Spirit, which they that believe on him should receive: for the Holy Ghost was not yet given; because that Jesus was not yet glorified.)	John 7:39	2	cross-reference
How is the Holy Ghost described across different scriptures?	And suddenly there came a sound from heaven as of a rushing mighty wind, and it filled all the house where they were sitting.	Acts 2:2	2	cross-reference
How is the Holy Ghost described across different scriptures?	And they were all filled with the Holy Ghost, and began to speak with other tongues, as the Spirit gave them utterance.	Acts 2:4	2	cross-reference
How is the Holy Ghost described across different scriptures?	Howbeit when he, the Spirit of truth, is come, he will guide you into all truth: for he shall not speak of himself; but whatsoever he shall hear, that shall he speak: and he will shew you things to come.	John 16:13	3	cross-reference
How is the Holy Ghost described across different scriptures?	A man may receive the Holy Ghost, and it may descend upon him and not tarry with him.	D&C 130:23	2	cross-reference
How is the Holy Ghost described across different scriptures?	The Father has a body of flesh and bones as tangible as man's; the Son also; but the Holy Ghost has not a body of flesh and bones, but is a personage of Spirit. Were it not so, the Holy Ghost could not dwell in us.	D&C 130:22	3	cross-reference
How is the Holy Ghost described across different scriptures?	And I will pray the Father, and he shall give you another Comforter, that he may abide with you for ever;	John 14:16	3	cross-reference
How is the Holy Ghost described across different scriptures?	And it shall come to pass, that if you shall ask the Father in my name, in faith believing, you shall receive the Holy Ghost, which giveth utterance, that you may stand as a witness of the things of which you shall both hear and see, and also that you may declare repentance unto this generation.	D&C 14:8	2	cross-reference
How is the Holy Ghost described across different scriptures?	For there are three that bear record in heaven, the Father, the Word, and the Holy Ghost: and these three are one.	1 John 5:7	3	cross-reference
How is the Holy Ghost described across different scriptures?	And Jesus, when he was baptized, went up straightway out of the water: and, lo, the heavens were opened unto him, and he saw the Spirit of God descending like a dove, and lighting upon him:	Matthew 3:16	3	cross-reference
How is the Holy Ghost described across different scriptures?	Therefore it is given to abide in you; the record of heaven; the Comforter; the peaceable things of immortal glory; the truth of all things; that which quickeneth all things, which maketh alive all things; that which knoweth all things, and hath all power according to wisdom, mercy, truth, justice, and judgment.	Moses 6:61	3	cross-reference
How is the Holy Ghost described across different scriptures?	We believe in God, the Eternal Father, and in His Son, Jesus Christ, and in the Holy Ghost.	Articles of Faith 1:1	1	cross-reference
How is the Holy Ghost described across different scriptures?	And thus will the Father bear record of me, and the Holy Ghost will bear record unto him of the Father and me; for the Father, and I, and the Holy Ghost are one.	3 Nephi 11:36	3	cross-reference
How is the Holy Ghost described across different scriptures?	And it came to pass when they were all baptized and had come up out of the water, the Holy Ghost did fall upon them, and they were filled with the Holy Ghost and with fire.	3 Nephi 19:13	2	cross-reference
How is the Holy Ghost described across different scriptures?	The Spirit of truth is of God. I am the Spirit of truth, and John bore record of me, saying: He received a fulness of truth, yea, even of all truth;	D&C 93:26	2	cross-reference
How is the Holy Ghost described across different scriptures?	And the spirit of the LORD shall rest upon him, the spirit of wisdom and understanding, the spirit of counsel and might, the spirit of knowledge and of the fear of the LORD;	Isaiah 11:2	2	cross-reference
How is the Holy Ghost described across different scriptures?	And John bare record, saying, I saw the Spirit descending from heaven like a dove, and it abode upon him.	John 1:32	2	cross-reference
How is the Holy Ghost described across different scriptures?	To preach my gospel by the Spirit, even the Comforter which was sent forth to teach the truth.	D&C 50:14	2	cross-reference
How is the Holy Ghost described across different scriptures?	God shall give unto you knowledge by his Holy Spirit, yea, by the unspeakable gift of the Holy Ghost, that has not been revealed since the world was until now;	D&C 121:26	3	cross-reference
How is the Holy Ghost described across different scriptures?	And behold, the Holy Spirit of God did come down from heaven, and did enter into their hearts, and they were filled as if with fire, and they could speak forth marvelous words.	Helaman 5:45	3	cross-reference
How is the Holy Ghost described across different scriptures?	And as I began to speak, the Holy Ghost fell on them, as on us at the beginning.	Acts 11:15	2	cross-reference
How is the Holy Ghost described across different scriptures?	For John truly baptized with water; but ye shall be baptized with the Holy Ghost not many days hence.	Acts 1:5	2	cross-reference
How is the Holy Ghost described across different scriptures?	For the Holy Ghost shall teach you in the same hour what ye ought to say.	Luke 12:12	2	cross-reference
How is the Holy Ghost described across different scriptures?	And again, it is given by the Holy Ghost to some to know the diversities of operations, whether they be of God, that the manifestations of the Spirit may be given to every man to profit withal.	D&C 46:16	2	cross-reference
How is the Holy Ghost described across different scriptures?	And he gave unto me a commandment that I should baptize in the name of the Father, and of the Son, which is full of grace and truth, and of the Holy Ghost, which beareth record of the Father and the Son.	Moses 7:11	2	cross-reference
How is the Holy Ghost described across different scriptures?	Wherefore, watch over him that his faith fail not, and it shall be given by the Comforter, the Holy Ghost, that knoweth all things.	D&C 35:19	2	cross-reference
How is the Holy Ghost described across different scriptures?	Therefore being by the right hand of God exalted, and having received of the Father the promise of the Holy Ghost, he hath shed forth this, which ye now see and hear.	Acts 2:33	2	cross-reference
How is the Holy Ghost described across different scriptures?	He shall glorify me: for he shall receive of mine, and shall shew it unto you.	John 16:14	2	cross-reference
How is the Holy Ghost described across different scriptures?	Behold, that which you hear is as the voice of one crying in the wilderness—in the wilderness, because you cannot see him—my voice, because my voice is Spirit; my Spirit is truth; truth abideth and hath no end; and if it be in you it shall abound.	D&C 88:66	2	cross-reference
How is the Holy Ghost described across different scriptures?	And when the day of Pentecost was fully come, they were all with one accord in one place.	Acts 2:1	1	cross-reference
How is the Holy Ghost described across different scriptures?	And when he is come, he will reprove the world of sin, and of righteousness, and of judgment:	John 16:8	3	cross-reference
How is the Holy Ghost described across different scriptures?	While Peter yet spake these words, the Holy Ghost fell on all them which heard the word.	Acts 10:44	2	cross-reference
How is the Holy Ghost described across different scriptures?	And I knew him not: but he that sent me to baptize with water, the same said unto me, Upon whom thou shalt see the Spirit descending, and remaining on him, the same is he which baptizeth with the Holy Ghost.	John 1:33	2	cross-reference
How is the Holy Ghost described across different scriptures?	John answered, saying unto them all, I indeed baptize you with water; but one mightier than I cometh, the latchet of whose shoes I am not worthy to unloose: he shall baptize you with the Holy Ghost and with fire:	Luke 3:16	3	cross-reference
How is the Holy Ghost described across different scriptures?	Now there are diversities of gifts, but the same Spirit.	1 Corinthians 12:4	2	cross-reference
How is the Holy Ghost described across different scriptures?	I indeed have baptized you with water: but he shall baptize you with the Holy Ghost.	Mark 1:8	2	cross-reference
How is the Holy Ghost described across different scriptures?	And I said unto him: To know the interpretation thereof—for I spake unto him as a man speaketh; for I beheld that he was in the form of a man; yet nevertheless, I knew that it was the Spirit of the Lord; and he spake unto me as a man speaketh with another.	1 Nephi 11:11	2	cross-reference
How is the Holy Ghost described across different scriptures?	Wherefore I give you to understand, that no man speaking by the Spirit of God calleth Jesus accursed: and that no man can say that Jesus is the Lord, but by the Holy Ghost.	1 Corinthians 12:3	2	cross-reference
How is the Holy Ghost described across different scriptures?	And the Father and I are one. I am in the Father and the Father in me; and inasmuch as ye have received me, ye are in me and I in you.	D&C 50:43	0	cross-reference
How is the Holy Ghost described across different scriptures?	And now, when the king heard these words, he said unto them: Now I know that it is the Great Spirit; and he has come down at this time to preserve your lives, that I might not slay you as I did your brethren. Now this is the Great Spirit of whom our fathers have spoken.	Alma 18:4	1	cross-reference
How is repentance taught in the Doctrine and Covenants?	And if he repent he shall be forgiven, according to the covenants and commandments of the church.	D&C 68:24	2	thematic
How is repentance taught in the Doctrine and Covenants?	And how great is his joy in the soul that repenteth!	D&C 18:13	2	thematic
How is repentance taught in the Doctrine and Covenants?	And him that repenteth not of his sins, and confesseth them not, ye shall bring before the church, and do with him as the scripture saith unto you, either by commandment or by revelation.	D&C 64:12	2	thematic
How is repentance taught in the Doctrine and Covenants?	Nevertheless, he that repents and does the commandments of the Lord shall be forgiven;	D&C 1:32	3	thematic
How is repentance taught in the Doctrine and Covenants?	By this ye may know if a man repenteth of his sins—behold, he will confess them and forsake them.	D&C 58:43	3	thematic
How is repentance taught in the Doctrine and Covenants?	And unto him that repenteth and sanctifieth himself before the Lord shall be given eternal life.	D&C 133:62	3	thematic
How is repentance taught in the Doctrine and Covenants?	Wherefore, you are called to cry repentance unto this people.	D&C 18:14	2	thematic
How is repentance taught in the Doctrine and Covenants?	Repent and be baptized in the name of Jesus Christ, according to the holy commandment, for the remission of sins;	D&C 49:13	3	thematic
How is repentance taught in the Doctrine and Covenants?	And, again, I say unto you, that whoso having knowledge, have I not commanded to repent?	D&C 29:49	2	thematic
How is repentance taught in the Doctrine and Covenants?	Wherefore, I command you to repent, and keep the commandments which you have received by the hand of my servant Joseph Smith, Jun., in my name;	D&C 19:13	3	thematic
How is repentance taught in the Doctrine and Covenants?	And inasmuch as they sinned they might be chastened, that they might repent;	D&C 1:27	3	thematic
How is repentance taught in the Doctrine and Covenants?	And I command you that you preach naught but repentance, and show not these things unto the world until it is wisdom in me.	D&C 19:21	3	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, he who has repented of his sins, the same is forgiven, and I, the Lord, remember them no more.	D&C 58:42	3	thematic
How is repentance taught in the Doctrine and Covenants?	But he that has committed adultery and repents with all his heart, and forsaketh it, and doeth it no more, thou shalt forgive;	D&C 42:25	3	thematic
How is repentance taught in the Doctrine and Covenants?	Thou knowest my laws concerning these things are given in my scriptures; he that sinneth and repenteth not shall be cast out.	D&C 42:28	2	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, I say unto you that your brethren in Zion begin to repent, and the angels rejoice over them.	D&C 90:34	1	thematic
How is repentance taught in the Doctrine and Covenants?	For all men must repent and be baptized, and not only men, but women, and children who have arrived at the years of accountability.	D&C 18:42	3	thematic
How is repentance taught in the Doctrine and Covenants?	And of tenets thou shalt not talk, but thou shalt declare repentance and faith on the Savior, and remission of sins by baptism, and by fire, yea, even the Holy Ghost.	D&C 19:31	3	thematic
How is repentance taught in the Doctrine and Covenants?	Hearken and hear, O ye inhabitants of the earth. Listen, ye elders of my church together, and hear the voice of the Lord; for he calleth upon all men, and he commandeth all men everywhere to repent.	D&C 133:16	2	thematic
How is repentance taught in the Doctrine and Covenants?	Nevertheless, he has sinned; but verily I say unto you, I, the Lord, forgive sins unto those who confess their sins before me and ask forgiveness, who have not sinned unto death.	D&C 64:7	3	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, this is my doctrine—whosoever repenteth and cometh unto me, the same is my church.	D&C 10:67	3	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, I say unto you, go forth as I have commanded you; repent of all your sins; ask and ye shall receive; knock and it shall be opened unto you.	D&C 49:26	3	thematic
How is repentance taught in the Doctrine and Covenants?	And if it so be that you should labor all your days in crying repentance unto this people, and bring, save it be one soul unto me, how great shall be your joy with him in the kingdom of my Father!	D&C 18:15	2	thematic
How is repentance taught in the Doctrine and Covenants?	Wherefore teach it unto your children, that all men, everywhere, must repent, or they can in nowise inherit the kingdom of God, for no unclean thing can dwell there, or dwell in his presence; for, in the language of Adam, Man of Holiness is his name, and the name of his Only Begotten is the Son of Man, even Jesus Christ, a righteous Judge, who shall come in the meridian of time.	Moses 6:57	0	thematic
How is repentance taught in the Doctrine and Covenants?	And if they are not married, they shall repent of all their sins or ye shall not receive them.	D&C 42:77	2	thematic
How is repentance taught in the Doctrine and Covenants?	Wherefore, I will that all men shall repent, for all are under sin, except those which I have reserved unto myself, holy men that ye know not of.	D&C 49:8	3	thematic
How is repentance taught in the Doctrine and Covenants?	Wherefore, I command you again to repent, lest I humble you with my almighty power; and that you confess your sins, lest you suffer these punishments of which I have spoken, of which in the smallest, yea, even in the least degree you have tasted at the time I withdrew my Spirit.	D&C 19:20	3	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, thus saith the Lord unto my people—you have many things to do and to repent of; for behold, your sins have come up unto me, and are not pardoned, because you seek to counsel in your own ways.	D&C 56:14	3	thematic
How is repentance taught in the Doctrine and Covenants?	And now, Oliver Cowdery, I speak unto you, and also unto David Whitmer, by the way of commandment; for, behold, I command all men everywhere to repent, and I speak unto you, even as unto Paul mine apostle, for you are called even with that same calling with which he was called.	D&C 18:9	2	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, verily, verily, I say unto you, that at this time your sins are forgiven you, therefore ye receive these things; but remember to sin no more, lest perils shall come upon you.	D&C 29:3	2	thematic
How is repentance taught in the Doctrine and Covenants?	And you must preach unto the world, saying: You must repent and be baptized, in the name of Jesus Christ;	D&C 18:41	3	thematic
How is repentance taught in the Doctrine and Covenants?	And we know that all men must repent and believe on the name of Jesus Christ, and worship the Father in his name, and endure in faith on his name to the end, or they cannot be saved in the kingdom of God.	D&C 20:29	3	thematic
How is repentance taught in the Doctrine and Covenants?	And by your hands I will work a marvelous work among the children of men, unto the convincing of many of their sins, that they may come unto repentance, and that they may come unto the kingdom of my Father.	D&C 18:44	2	thematic
How is repentance taught in the Doctrine and Covenants?	Which gospel is the gospel of repentance and of baptism, and the remission of sins, and the law of carnal commandments, which the Lord in his wrath caused to continue with the house of Aaron among the children of Israel until John, whom God raised up, being filled with the Holy Ghost from his mother's womb.	D&C 84:27	2	thematic
How is repentance taught in the Doctrine and Covenants?	And again, by way of commandment to the church concerning the manner of baptism—All those who humble themselves before God, and desire to be baptized, and come forth with broken hearts and contrite spirits, and witness before the church that they have truly repented of all their sins, and are willing to take upon them the name of Jesus Christ, having a determination to serve him to the end, and truly manifest by their works that they have received of the Spirit of Christ unto the remission of their sins, shall be received by baptism into his church.	D&C 20:37	3	thematic
How is repentance taught in the Doctrine and Covenants?	Behold, the world is ripening in iniquity; and it must needs be that the children of men are stirred up unto repentance, both the Gentiles and also the house of Israel.	D&C 18:6	2	thematic
How is repentance taught in the Doctrine and Covenants?	For if I, who am a man, do lift up my voice and call upon you to repent, and ye hate me, what will ye say when the day cometh when the thunders shall utter their voices from the ends of the earth, speaking to the ears of all that live, saying—Repent, and prepare for the great day of the Lord?	D&C 43:21	2	thematic
How is repentance taught in the Doctrine and Covenants?	And he that repents not, from him shall be taken even the light which he has received; for my Spirit shall not always strive with man, saith the Lord of Hosts.	D&C 1:33	3	thematic
How is repentance taught in the Doctrine and Covenants?	But remember, God is merciful; therefore, repent of that which thou hast done which is contrary to the commandment which I gave you, and thou art still chosen, and art again called to the work;	D&C 3:10	3	thematic
How is repentance taught in the Doctrine and Covenants?	Therefore I command you to repent—repent, lest I smite you by the rod of my mouth, and by my wrath, and by my anger, and your sufferings be sore—how sore you know not, how exquisite you know not, yea, how hard to bear you know not.	D&C 19:15	3	thematic
